old_path,discovery_source,preview_first_status,preview_final_status,preview_final_url,live_final_url_if_checked,proposed_destination,priority,action
/,live page sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/,,,verified,Preserve working URL and content
/220526_9319/,live content link,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/220526_9319/,https://woodlandsmanorfarm.co.uk/wp-content/uploads/2022/06/220526_9319.webp,,review,"Review old source relevance; preserve, redirect to equivalent content, or record intentional retirement"
/220526_9403/,live content link,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/220526_9403/,https://woodlandsmanorfarm.co.uk/wp-content/uploads/2022/06/220526_9403.webp,,review,"Review old source relevance; preserve, redirect to equivalent content, or record intentional retirement"
/220526_9429/,live content link,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/220526_9429/,https://woodlandsmanorfarm.co.uk/wp-content/uploads/2022/06/220526_9429.webp,,review,"Review old source relevance; preserve, redirect to equivalent content, or record intentional retirement"
/about-woodlands-manor-farm-holiday-cottages-with-a-pool/,live page sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/about-woodlands-manor-farm-holiday-cottages-with-a-pool/,,,verified,Preserve working URL and content
/about/,live content link,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/about/,https://woodlandsmanorfarm.co.uk/on-the-farm/,/on-the-farm/,before launch,Add permanent redirect matching current live destination
/alpaca-walking-woodlands-manor-farm/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/alpaca-walking-woodlands-manor-farm/,,,verified,Preserve working URL and content
/author/ruth/,live author sitemap,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/author/ruth/,,,review,Check traffic/incoming links; map only to equivalent content or intentionally retire
/author/ruthk132gmail-com/,live author sitemap,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/author/ruthk132gmail-com/,,,review,Check traffic/incoming links; map only to equivalent content or intentionally retire
/book-direct/,configured redirect,301,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/holiday-cottage-direct-booking-woodlands-cornwall/,,,verified,Existing redirect reaches 200; confirm destination remains equivalent
/bude-holiday-cottages/,live page sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bude-holiday-cottages/,,,verified,Preserve working URL and content
/bude-holiday-cottages/woo,live content link,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bude-holiday-cottages/woo/,https://woodlandsmanorfarm.co.uk/woodlands-manor-farm-local-beaches/,,review,Malformed old link; fix source. Live WordPress fuzzy redirect is not automatically worth preserving
/bude-literary-festival-2026/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bude-literary-festival-2026/,,,verified,Preserve working URL and content
/bude-whats-on-guide-october-half-term-2024/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bude-whats-on-guide-october-half-term-2024/,,,verified,Preserve working URL and content
/bude-wood-turning-coures/,configured redirect,301,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/things-to-do-in-bude/,,,verified,Existing redirect reaches 200; confirm destination remains equivalent
/budhyn-yurt/,live page sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/budhyn-yurt/,,,verified,Preserve working URL and content
/bush-inn-morwenstow-best-pub-cornwall/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bush-inn-morwenstow-best-pub-cornwall/,,,verified,Preserve working URL and content
/category/company-news/,live category sitemap,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/category/company-news/,,,review,Check traffic/incoming links; map only to equivalent content or intentionally retire
/category/news/,live category sitemap,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/category/news/,,,review,Check traffic/incoming links; map only to equivalent content or intentionally retire
/christmas-in-bude-2025/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/christmas-in-bude-2025/,,,verified,Preserve working URL and content
/competition/,live content link,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/competition/,https://woodlandsmanorfarm.co.uk/special-offers/,/special-offers/,before launch,Add permanent redirect matching current live destination
/contact-us/,live page sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/contact-us/,,,verified,Preserve working URL and content
/cottages-bude/,configured redirect,301,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/bude-holiday-cottages/,,,verified,Existing redirect reaches 200; confirm destination remains equivalent
/crackington-haven/,configured redirect,301,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/things-to-do-in-bude/,,,verified,Existing redirect reaches 200; confirm destination remains equivalent
/crooklets/,configured redirect,301,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/things-to-do-in-bude/,,,verified,Existing redirect reaches 200; confirm destination remains equivalent
/cycling-in-cornwall-woodlands-manor-farm/,configured redirect,301,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/discover-the-breathtaking-cycling-routes-of-north-cornwall/,,,verified,Existing redirect reaches 200; confirm destination remains equivalent
/discover-the-best-glamping-spots-in-cornwall-for-2025/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/discover-the-best-glamping-spots-in-cornwall-for-2025/,,,verified,Preserve working URL and content
/discover-the-breathtaking-cycling-routes-of-north-cornwall/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/discover-the-breathtaking-cycling-routes-of-north-cornwall/,,,verified,Preserve working URL and content
/dog-rules/,live page sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/dog-rules/,,,verified,Preserve working URL and content
/duckpool/,configured redirect,301,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/things-to-do-in-bude/,,,verified,Existing redirect reaches 200; confirm destination remains equivalent
/elementor-10201/,live content link,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/elementor-10201/,https://woodlandsmanorfarm.co.uk/bude-holiday-cottages/,/bude-holiday-cottages/,before launch,Add permanent redirect matching current live destination
/exciting-events-aplenty-in-bude-this-summer/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/exciting-events-aplenty-in-bude-this-summer/,,,verified,Preserve working URL and content
/experience-an-unforgettable-family-winter-break/,live post sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/experience-an-unforgettable-family-winter-break/,,,verified,Preserve working URL and content
/experiences-weddings-events/,live page sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/experiences-weddings-events/,,,verified,Preserve working URL and content
/fenton-yurt/,live page sitemap,200,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/fenton-yurt/,,,verified,Preserve working URL and content
/fishing-in-and-around-bude/,configured redirect; live post sitemap,301,200,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/things-to-do-in-bude/,,/fishing-in-and-around-bude/,before launch,"Restore original article (preferred), or consolidate substantive content deliberately; repair sitemap/cards"
/goldiggins-edited/,live content link,404,404,https://woodlands-manor-farm.woodlands-manor-farm.workers.dev/goldiggins-edited/,https://woodlandsmanorfarm.co.uk/wp-content/uploads/2024/05/goldiggins-edited.jpg,,review,"Review old source relevance; preserve, redirect to equivalent content, or record intentional retirement"
